Date,LTC.open,LTC.close,LTC.high,LTC.low,LTC.volume
2019-07-16 03:30:00,89.047,88.72,89.047,88.154,589.23092056
2019-07-16 04:00:00,88.687,88.99,88.99,88.059,421.57070934
2019-07-16 04:30:00,89.0,89.19,89.422,88.982,344.13859865
2019-07-16 05:00:00,89.168,88.738,89.175,88.628,1068.29353639
2019-07-16 05:30:00,88.738,89.182,89.366,88.458,530.78574943
2019-07-16 06:00:00,89.04,88.683,89.302,88.683,428.18444679
2019-07-16 06:30:00,88.654,88.865,88.949,88.55,428.76632286
2019-07-16 07:00:00,88.872,87.743,89.129,87.52,1699.91201471
2019-07-16 07:30:00,87.725,89.232,89.834,87.251,3699.7977438899998
2019-07-16 08:00:00,89.233,89.4,89.778,89.198,524.29766805
2019-07-16 08:30:00,89.31,90.397,90.658,89.116,1141.91065102
2019-07-16 09:00:00,90.386,89.79,90.9,89.501,2651.3215762199998
2019-07-16 09:30:00,89.718,89.262,89.927,89.056,512.83181395
2019-07-16 10:00:00,89.32,89.303,89.62,89.211,338.85722826
2019-07-16 10:30:00,89.265,89.32,89.526,88.521,978.22674269
2019-07-16 11:00:00,89.16,89.497,89.625,88.429,2511.51203527
2019-07-16 11:30:00,89.614,89.191,89.999,89.162,1001.51731774
2019-07-16 12:00:00,89.181,88.03,89.307,87.99,3630.41418172
2019-07-16 12:30:00,88.297,87.692,89.193,86.8,4245.2835553
2019-07-16 13:00:00,87.687,86.977,87.691,86.038,5780.46698632
2019-07-16 13:30:00,86.985,86.65,87.786,86.171,2398.18807693
2019-07-16 14:00:00,86.712,86.671,86.971,85.689,4535.3963129
2019-07-16 14:30:00,86.67,86.502,87.133,86.347,334.02588135
2019-07-16 15:00:00,86.516,87.273,87.482,86.334,1051.63034366
2019-07-16 15:30:00,87.248,87.612,88.487,87.167,979.02049668
2019-07-16 16:00:00,87.566,83.019,87.566,81.461,38208.61312541
2019-07-16 16:30:00,83.041,82.34,83.207,82.0,10182.72119239
2019-07-16 17:00:00,82.364,77.437,82.368,75.885,60525.3913065
2019-07-16 17:30:00,77.609,79.204,79.578,76.65,16438.32217179
